891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,46,60
891235,2,45,3,65,1,58,125,60,137,68,126,100,57,77,4,60
891236,565,85,82,47,1,78,2,98,218,78,3,54,137,47,65,65
891237,126,85,106,45,1,67,27,29,12,78,3,69,106,25,2,65
891238,218,56,12,58,1,78,13,76,2,87,3,47,57,85,125,89
891239,5,78,11,85,27,56,81,3,87,1,87,46,13,79,2,78
891240,3,74,218,100,52,89,40,67,46,89,2,55,1,65,27,98
891241,40,85,2,40,52,41,3,73,57,56,126,96,4,45,1,26
891242,6,68,4,85,1,98,2,46,7,56,3,100,13,64,42,87
891243,7,85,218,100,9,54,1,45,6,65,3,46,2,87,46,87
